codIBGE,municipio,ano,UF,expecvida,AmpT,Tmax,Tmin,homicidios,mortinf,acidtrans,renda_pc,indgini,razao_renda,IDHM,lnexpecvida,lnAmpT,lnTmax,lnTmin,lnrenda_pc,d1990,d2000,d2010,regiao
1505908,Porto de Moz,1990,PA,64.05,10.7,33.2,22.5,0,48.84,NA,148.43,0.53,14.85,422,4.15966402834274,2.37024374146786,3.50254987592244,3.11351530921037,5.00011346663667,1,0,0,Norte
1505908,Porto de Moz,2000,PA,66.92,9.9,33.4,23.5,4.13,37.8,NA,168.31,0.61,23.16,0.36,4.20349787611862,2.29253475714054,3.50855589998265,3.15700042115011,5.12580751713807,0,1,0,Norte
1505908,Porto de Moz,2010,PA,71.2,10.2,34.4,24.2,14.38,23.4,24.79,193.52,0.59,25.67,503,4.26549281841793,2.32238772029023,3.53805656437935,3.18635263316264,5.26538086630177,0,0,1,Norte
1507300,São Félix do Xingu,1990,PA,61.54,18.9,33.9,15,12.05,55.69,NA,256.58,0.55,15.81,516,4.1196873698939,2.9391619220656,3.5234150143864,2.70805020110221,5.54744050682119,1,0,0,Norte
1507300,São Félix do Xingu,2000,PA,69.46,NA,NA,NA,36.5,29.48,23.63,496.39,0.71,41.36,435,4.24075104731593,NA,NA,NA,6.20736190808322,0,1,0,Norte
1507300,São Félix do Xingu,2010,PA,72.87,19.5,35.9,16.4,28.87,19,23.52,423.85,0.62,30.75,594,4.28867703168219,2.9704144655697,3.58073729549423,2.79728133483015,6.04937961905441,0,0,1,Norte
1507904,Soure,1990,PA,65.6,7.9,31.1,23.2,5.72,44.63,5.72,212,0.64,28.45,565,4.18357569595004,2.06686275947298,3.43720781918519,3.14415227867226,5.35658627467201,1,0,0,Norte
1507904,Soure,2000,PA,69.82,8.4,31.6,23.2,4.87,33.34,NA,223.92,0.6,22.62,513,4.24592050167689,2.12823170584927,3.45315712059287,3.14415227867226,5.4112888452072,0,1,0,Norte
1507904,Soure,2010,PA,70.57,11.4,34,22.6,0,25.2,18,300.59,0.52,14.63,615,4.25660512501274,2.43361335540045,3.52636052461616,3.11794990627824,5.70574720996579,0,0,1,Norte
1508035,Tracuateua,1990,PA,58.8,NA,NA,21,0,72.19,NA,119.46,0.51,13.17,NA,4.07414185490458,NA,NA,3.04452243772342,4.78298158730416,1,0,0,Norte
